Source,Relation,Target
BIOTECH_TRIAL:NCT06920810,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05057013,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05057013,TARGETS_BIOMARKER,HER3
BIOTECH_TRIAL:NCT05057013,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04024800,USES_DRUG_TYPE,PROTEIN
BIOTECH_TRIAL:NCT04024800,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04024800,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT04024800,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02039674,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02039674,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02039674,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT02039674,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT06231693,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT06231693,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03953235,USES_DRUG_TYPE,VACCINE
BIOTECH_TRIAL:NCT03953235,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03953235,INVOLVES_PATHWAY,Immune checkpoint
BIOTECH_TRIAL:NCT01071564,USES_DRUG_TYPE,PROTEIN
BIOTECH_TRIAL:NCT01071564,INVOLVES_PATHWAY,Notch
BIOTECH_TRIAL:NCT01623349,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT01623349,TARGETS_BIOMARKER,PARP
BIOTECH_TRIAL:NCT01623349,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT01623349,HAS_DRUG_CLASS,PARP inhibitor
BIOTECH_TRIAL:NCT01623349,HAS_DRUG_CLASS,Kinase inhibitor
BIOTECH_TRIAL:NCT01676753,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT01676753,TARGETS_BIOMARKER,MYC
BIOTECH_TRIAL:NCT01676753,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT01676753,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02441517,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02441517,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02814968,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02814968,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05831553,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05831553,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT05831553,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05831553,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT05831553,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03164993,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT03164993,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03164993,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT03164993,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03425292,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT03425292,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03425292,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT03425292,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04117087,USES_DRUG_TYPE,PROTEIN
BIOTECH_TRIAL:NCT04117087,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04117087,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT04117087,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT01145430,USES_DRUG_TYPE,PROTEIN
BIOTECH_TRIAL:NCT01145430,TARGETS_BIOMARKER,PARP
BIOTECH_TRIAL:NCT01145430,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03893955,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT03893955,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03893955,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02116582,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02116582,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT06700382,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT06700382,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04052555,USES_DRUG_TYPE,PROTEIN
BIOTECH_TRIAL:NCT04504916,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04504916,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04504916,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04179864,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT04179864,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05035407,USES_DRUG_TYPE,DNA
BIOTECH_TRIAL:NCT05035407,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05846789,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05846789,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05846789,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02286921,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02286921,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04914390,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04914390,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04914390,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04866810,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT04866810,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03464942,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT03464942,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03464942,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT03464942,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT06690840,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT06690840,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT06690840,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT06690840,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT06690840,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03305445,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT03305445,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03305445,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT03305445,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT06627712,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT06627712,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04060342,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04060342,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT01942837,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT01942837,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT06078384,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT06078384,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT06078384,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT06078384,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04418154,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT04418154,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04418154,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02254785,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02254785,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02411656,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02411656,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02411656,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT02411656,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02425891,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02425891,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT02425891,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02425891,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT02425891,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05742269,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05742269,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT05742269,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05742269,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT05742269,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03821935,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT03821935,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03821935,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02938442,USES_DRUG_TYPE,VACCINE
BIOTECH_TRIAL:NCT02938442,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02495974,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02090114,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02090114,TARGETS_BIOMARKER,PTEN
BIOTECH_TRIAL:NCT02090114,TARGETS_BIOMARKER,TP53
BIOTECH_TRIAL:NCT02090114,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02227082,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02227082,TARGETS_BIOMARKER,PARP
BIOTECH_TRIAL:NCT02227082,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02227082,HAS_DRUG_CLASS,PARP inhibitor
BIOTECH_TRIAL:NCT04895709,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04895709,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04895709,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT04895709,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05877859,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT05877859,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05877859,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT05877859,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03449108,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT03449108,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT01997333,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT01997333,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT01997333,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03979508,USES_DRUG_TYPE,PROTEIN
BIOTECH_TRIAL:NCT03979508,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT03979508,HAS_DRUG_CLASS,Kinase inhibitor
BIOTECH_TRIAL:NCT03979508,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02294461,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02294461,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05806385,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT05806385,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04954599,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT04954599,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04954599,INVOLVES_PATHWAY,Immune checkpoint
BIOTECH_TRIAL:NCT05134194,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05134194,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05134194,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT00528567,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT00528567,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT00528567,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02620280,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02620280,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02620280,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT02620280,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02404441,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT02404441,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT02404441,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02404441,INVOLVES_PATHWAY,Immune checkpoint
BIOTECH_TRIAL:NCT01069796,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT01069796,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02536794,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02536794,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT02536794,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02536794,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05014776,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05014776,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05014776,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT05014776,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02484404,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02484404,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02484404,HAS_DRUG_CLASS,PARP inhibitor
BIOTECH_TRIAL:NCT02484404,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02593227,USES_DRUG_TYPE,PROTEIN
BIOTECH_TRIAL:NCT02593227,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02272855,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02272855,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT06786026,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT06786026,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05599685,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05599685,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT05599685,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05599685,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT05599685,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05000294,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05000294,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT05000294,TARGETS_BIOMARKER,VEGF
BIOTECH_TRIAL:NCT05000294,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05000294,INVOLVES_PATHWAY,Immune checkpoint
BIOTECH_TRIAL:NCT05000294,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT05000294,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04291755,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04291755,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04291755,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT04291755,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT06629779,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT06629779,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05086692,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT05086692,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05086692,INVOLVES_PATHWAY,Immune checkpoint
BIOTECH_TRIAL:NCT02819518,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02819518,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT02819518,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02819518,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT02819518,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT06052852,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT06052852,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02203695,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02203695,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02648477,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02648477,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02648477,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT02648477,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04090710,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04090710,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04090710,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT04090710,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05341492,USES_DRUG_TYPE,CELLULAR
BIOTECH_TRIAL:NCT05341492,TARGETS_BIOMARKER,EGFR
BIOTECH_TRIAL:NCT05341492,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05582538,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05582538,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05582538,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02670109,USES_DRUG_TYPE,CELLULAR
BIOTECH_TRIAL:NCT02670109,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05451849,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05451849,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT05451849,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03922880,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT03922880,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03922880,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT03922880,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03337724,USES_DRUG_TYPE,HORMONAL
BIOTECH_TRIAL:NCT03337724,TARGETS_BIOMARKER,PIK3CA
BIOTECH_TRIAL:NCT03337724,TARGETS_BIOMARKER,AKT
